Word,Meaning
hunch,A feeling or guess based on intuition rather than fact
ignominy,Public shame or disgrace
imbecile,"Stupid, idiotic"
imbibe,"Drink, consume, sip, swallow"
imminent,"About to happened, forthcoming"
impeccable,"Without fault or error, perfect in every way"
imperative,"Of vital importance, crucial, necessary, indispensable"
impunity,"Exemption from punishment, immunity"
incandescent,"Brilliant, masterly, extraordinarily lucid"
incumbent,Necessary for as a duty or responsibility
insidious,Causing harm in a way that is gradual or not easily noticed
intrepid,"Brave, feeling or displaying no fear by temperament"
intricate,Very complicated or detailed
intrigue,"Arouse the curiosity or interest of, fascinate"
invective,"Insulting, abusive, or highly critical language"
irresolute,"Showing or feeling hesitancy, uncertain"
jaded,Bored or lacking enthusiasm
jaunty,"Having a lively, cheerful, and self-confident manner"
jeopardized,"Put into a danger of loss, harm, or failure, put at risk, threaten"
jocular,"Fond of or characterized by joking, humorous or playful"
juggernaut,"A huge, powerful, and overwhelming force"
jurisprudence,The theory or philosophy of law
kindle,"Set something on fire, arouse or inspire"
knack,"Natural abilities or qualities of doing something, a special skill"
laconic,"Using very few words, brief"
laggard,"A person who makes slow progress and falls behind others, straggler"
lament,A passionate expression of grief or sorrow
lampoon,"Publicly criticize, irony, mock"
leapt,"Jump or spring a long way, to a great height, or with great force"
lethal,"Deadly, fatal, causing or able to cause death"
logjam,A situation that seems irresolvable
ludicrous,"So foolish, unreasonable, absurd, ridiculous"
lugubrious,Extremely sad and depressed
lunacy,"Behaviour that is stupid or crazy, madness"
lurking,"Be or remain hidden so as to wait in ambush, hide, skulk"
malice,"The desire to harm someone, feeling a need to see others suffer"
malinger,Pretend to be ill in order to escape duty or work
manifest,Clearly revealed to the mind or the senses or judgment
manifestation,"The action or fact of showing, display, demonstration, exhibition"
manoeuvre,A movement or series of moves requiring skill and care
maverick,"Independent person, unorthodox person"
meagre,Lacking in quantity or quality
mellifluous,"Pleasing to the ear, a smooth, flowing sound, Melodious"
menace,"A person/ thing that causes harm, a threat"
meteoric,"Very rapid, swift, fast, quick, speedy"
midget,"Very small, so small as to be insignificant"
mollify,"Pacify, appease, make calm or softer"
mooted,"Raise (a question or topic) for discussion, suggest (an idea or possibility)"
motley,"Varied in appearance or character, diverse, varied"
mourn,"Feel or show sorrow for the death, feel regret or sadness about the loss"
mundane,"Lacking interest or excitement, dull"
muzzle,"The projecting part of the face, including the nose and mouth, of an animal such as a dog or horse"
nefarious,"Wicked or criminal, evil, corrupt"
neophyte,"A person who is new to a subject or activity, beginner"
nexus,"A series of connections, Connection"
nimble,"Quick and light in movement or action, agile"
nostalgic,"Feeling, evoking, sentimental"
nuance,"Characterized by shade of meaning/ expression, distinction, gradation"
nudge,To give someone a gentle reminder or encouragement
obese,Grossly fat or overweight
obliterate,"Destroy utterly, wipe out."
omnipotent,"Having unlimited power, almighty, supreme"
onus,"One's duty or responsibility, liability"
orchestrated,Plan or coordinate the elements to produce the desired effect
oust,Drive out or expel someone from a position or place
ousted,Drive out or expel (someone) from a position or place
palpably,Noticeably or clearly
pantheon,A group of famous or important people
paragon,"A model of excellence, good example"
patrons,"A person who gives financial or other support to a person, organization, or cause"
paucity,The presence of something in only small or insufficient quantities or amounts
pecuniary,Relating to or consisting of money
peevish,"Easily irritated, testy or annoyed"
perceptions,"Awareness of something through the senses, realization"
perennial,Lasting or existing for a long or apparently infinite time
pique,A sudden outburst of anger
placid,Not easily upset or excited
plagued,Pester or harass (someone) continually
plenitude,"The state of being full or complete, an abundance"
plethora,A large or excessive amount of something/an excess of
ploy,"A cunning plan or action, strategy"
plucky,Having or showing determined courage in the face of difficulties
portends,"Be an early sign or warning, prophesy"
pragmatic,Dealing with things sensibly and realistically
preempt,"Take action in order to prevent an anticipated event, forestall"
prevail,"Prove more powerful or superior, triumph, be victorious"
probity,"The quality of having strong moral principles, honesty and decency"
prodigies,A young person with exceptional qualities or abilities
propensity,"A natural inclination or tendency, a disposition to behave in a certain way."
propped,"Support or keep in position, hold up"
protagonist,An advocate or champion of a particular cause or idea
protracted,Lasting for a long time or longer than expected or usual
quaint,"Attractively old-fashioned, oddly picturesque"
quandary,"A state of not knowing what to decide, the dilemma"
queer,"Strange, odd, bizarre"
quell,"Put an end to (a rebellion or other disorder), typically by the use of force"
redundant,"Surplus, more than what is required"
reiteration,"The action of repeating something, typically for emphasis or clarity"
remiss,"Lacking care or attention to duty, negligent"
resuscitate,Revive (someone) from unconsciousness or apparent death
retaliate,"To take revenge, to do something harmful"
retrench,"To spend less money, to reduce costs"
revel,Enjoy oneself in a lively and noisy way
revive,"Restore to life or consciousness, bring back from the edge of death"
rhetoric,The art of effective or persuasive speaking or writing
roil,Make (a liquid) turbid or muddy by disturbing the sediment
ruminate,"To think deeply about something, Meditate"
ruse,"An action intended to deceive someone, a trick, ploy, tactic"
sanguine,Cheerfully positive and confident
sanguineness,Cheerfully confident optimistic
satire,"The use of humour, irony"
scant,Barely sufficient or adequate
scarcity,"In short supply, dearth, lack, want, undersupply, insufficiency"
scramble,Move hurriedly or clumsily from or into a particular place or position
scrutinized,"Examine or inspect closely and thoroughly, survey, scan"
scrutiny,"Critical observation or examination, inspection"
scurrilous,"Very rude and insulting, and intended to damage somebody's reputation"
scuttle,Run hurriedly or furtively with short quick steps
searing,"Extremely hot or intense, severely critical"
shambles,"A state of total disorder. chaos, mess, muddle, disorganization"
skeptical,"Not easily convinced, having doubts"
slothful,"Lazy, idle, inactive, dull"
slovenly,"Untidy and dirty, scruffy, messy, unkempt, blowsy"
sluggish,Slow-moving or inactive
snares,"A trap for catching birds or mammals, net"
sojourn,"A temporary stay, stopover, residence"
spook,"Afraid of, frighten, unnerve"
squandering,"Waste something in a foolish manner, dissipate"
staunch,Very loyal and committed in attitude
stern,"Serious, strict, severe, harsh"
steward,A person responsible for supplies
stewardship,The job of supervising or taking care of something
stratum,"People Having the Same Social, Economic, Or Educational Status"
strife,"Angry or bitter disagreement over fundamental issues, conflict"
suave,"Charming, sophisticated, gentlemanly"
succinct,Briefly and clearly expressed
succor,Assistance and support in times of hardship and distress
succumb,"Fail to resist pressure or temptation, surrender"
thrifty,Careful about spending money and not wasting things
throng,Fill or be present in great numbers
titter,"Give a short, half-suppressed laugh, giggle"
tranquil,"Free from disturbance, calm"
trumped,Surpass (something) by saying or doing something better
tumult,"A loud, confused noise, especially one caused by a large mass of people"
ubiquitous,"Present, appearing or being everywhere at once"
ulterior,"Existing beyond what is obvious or admitted, intentionally hidden"
unbridled,"Uncontrolled, unconstrained"
utopia,An imagined place or state of things in which everything is perfect
vague,"Of uncertain, indefinite, or unclear character or meaning"
valiant,Possessing or showing courage or determination
vanquish,"Defeat thoroughly, conquer, overcome"
veer,"Change direction suddenly, swing"
vendetta,"A prolonged bitter quarrel or campaign, argument"
veracity,"Conformity to facts, accuracy, truthfulness, truth, exactness"
verbose,Using or expressed in more words than are needed
vex,"Cause Annoyance In, Disturb, Especially by Minor Irritations"
vitiate,"Make imperfect, to spoil or reduce the effect of something"
vitiating,"Spoil, impair the quality or efficiency, Abolish"
volley,"Utter or discharge in quick succession, burst"
votary,"A devoted follower, adherent, or advocate of someone"
vying,To be competitive with someone in order to do or achieve something
whammy,"An event with a powerful and unpleasant effect, a blow"
woe,"Great sorrow or distress, misery, unhappiness"
yearn,"Have an intense feeling of longing for something, that one has lost or been separated from"
zenith,"The high point, Apex, Maximum, Pinnacle"
